File name (local);Journal;Database;CC Type;Special CC Type;Attribute/Variable;Special Data Type;Multivariate;Distribution-free;Distribution;Computation method;Performance metric;Economic Design
amdouni2017;ijpr;EconBiz;Shewhart;Adaptive;Variable;;n;n;Normal;Markov Chain Approach;ATS, overall;n
aslam2015;ijpr;EconBiz;Shewhart;;Variable and Attribute;;n;n;Normal, Binomial;(Monte Carlo) Simulation, Analytically;ARL;n
avakdarestani2016;ijqrm;EconBiz;Shewhart;;Variable;;n;n;Normal;Analytically;PCA;n
bahria2019;ijpr;EconBiz;Shewhart;;Variable;;n;n;Normal;Analytically;-;y
baud-lavigne2010;ijpr;EconBiz;Shewhart;;Variable;;n;n;Normal;(Monte Carlo) Simulation;ARL;y
celano2016;ijpr;EconBiz;Shewhart;;Variable;;n;y;Normal, t, Gamma;Analytically;FAR;n
celano2020;ijpr;EconBiz;Shewhart;;Variable;;n;y;Normal, t, Gamma;(Monte Carlo) Simulation, Analytically;FAR;n
chang2010;ijpr;EconBiz;Shewhart;;Variable;Profile / Surface;y;n;Normal;(Monte Carlo) Simulation;ARL;n
chien2013;ijpr;EconBiz;Shewhart;;Variable;;n;n;Lognormal;not mentioned;-;n
chou2013;ijpr;EconBiz;EWMA;;Variable;Profile / Surface;y;n;Regression, Normal;(Monte Carlo) Simulation;ARL;n
colosimo2010;ijpr;EconBiz;Shewhart;;Variable;Profile / Surface, Autocorrelated;y;n;Time Series Model, Normal;(Monte Carlo) Simulation, Analytically;ARL, FAR;n
ding2016;ijpr;EconBiz;Shewhart;;Variable and Attribute;Profile / Surface;y;n;Regression, Multinomial, Normal;(Monte Carlo) Simulation;ARL;n
du2012;ijpr;EconBiz;Shewhart;;Variable;;y;n;Normal;not mentioned;-;n
faraz2015;ijpr;EconBiz;Shewhart;;Variable;;n;n;Normal;(Monte Carlo) Simulation;ARL;n
faraz2017;ijpr;EconBiz;Shewhart;;Variable;;n;n;Normal;(Monte Carlo) Simulation;ARL;n
fernandez2014;ijpr;EconBiz;Shewhart;;Attribute;;y;n;Multinomial;not mentioned;-;n
garcia-bustos2014;ijpr;EconBiz;EWMA;;Attribute;;y;n;Poisson;Markov Chain Approach;ARL;n
goedhart2016;ijpr;EconBiz;Shewhart;;Variable;;n;n;Normal;(Monte Carlo) Simulation;ARL, overall;n
graham2014;ijpr;EconBiz;CUSUM;;Variable;;n;y;Normal, t, Exponential, Laplace, Lognormal;(Monte Carlo) Simulation;ARL;n
graham2016;ijpr;EconBiz;EWMA;;Variable;;n;y;Normal, Exponential, Laplace;(Monte Carlo) Simulation;ARL;n
haridy2014;ijpr;EconBiz;Shewhart;;Attribute;;n;n;Normal;Numerical Integration, Analytically;ATS, overall;n
he2013;ijpr;EconBiz;Shewhart;;Variable and Attribute;;y;n;Normal;(Monte Carlo) Simulation;ARL, classification;n
he2015;ijpr;EconBiz;Shewhart;;Variable;;y;n;Normal;(Monte Carlo) Simulation;ARL;n
he2021;ijpr;EconBiz;CUSUM;;Variable and Attribute;TBE;y;y;Regression, Normal, t, Gamma, Exponential;(Monte Carlo) Simulation;ARL;n
hou2021;ijpr;EconBiz;CUSUM;;Variable;;n;y;Normal, t, Lognormal;(Monte Carlo) Simulation;ARL;n
hu2015;ijpr;EconBiz;Shewhart;Synthetic;Variable and Attribute;;n;n;Normal;Markov Chain Approach;ARL;y
hu2016;ijpr;EconBiz;Shewhart;;Variable;;y;n;Normal;not mentioned;-;n
joghee2017;ijqrm;EconBiz;Shewhart;;Variable;;n;n;Normal;Analytically;ARL;n
kang2013;ijpr;EconBiz;Shewhart;;Variable;;y;y;Normal, inhomogeneous normal, banana-shaped;(Monte Carlo) Simulation;ARL;n
lee2012-1;ijpr;EconBiz;CUSUM;;Variable;Profile / Surface;y;y;Regression, Normal and Non-Normal;(Monte Carlo) Simulation;ARL;n
leoni2015;ijpr;EconBiz;Shewhart;;Variable;Autocorrelated;y;n;Time Series Model, Normal;Analytically;ARL;n
li2010-econbiz;ijpr;EconBiz;CUSUM;Adaptive;Variable;;n;n;Normal;(Monte Carlo) Simulation;ATS;n
li2010-1;ijpr;EconBiz;CUSUM;Adaptive;Variable;;n;n;Normal;(Monte Carlo) Simulation;ARL;n
li2010-2;ijpr;EconBiz;EWMA;;Variable;;n;n;Normal;(Monte Carlo) Simulation, Markov Chain Approach;ARL;n
li2016;ijpr;EconBiz;Shewhart;;Variable;;n;y;Normal, t, Gamma;(Monte Carlo) Simulation, Numerical Integration;-;y
li2020;ijpr;EconBiz;CUSUM;;Attribute;;y;y;Normal, t;(Monte Carlo) Simulation;ARL;n
liu2013-1;ijpr;EconBiz;CUSUM;Adaptive;Variable;;n;y;Normal, t, Gamma, Chi-squared;(Monte Carlo) Simulation;ARL, comparison;n
machado2014;ijpr;EconBiz;Shewhart;Synthetic;Variable and Attribute;;n;n;Normal;Markov Chain Approach;ARL;n
mukherjee2015;ijpr;EconBiz;Shewhart;;Variable;;n;y;Normal, t, Gamma, Exponential, Laplace, Lognormal, Loglogistic;(Monte Carlo) Simulation;ARL;n
nenes2014;ijpr;EconBiz;Shewhart;Adaptive;Variable;;n;n;Normal;Markov Chain Approach;ARL, FAR;y
pan2012;ijpr;EconBiz;Shewhart;;Variable;;n;n;Normal;Analytically;ARL;y
qu2017-1;ijpr;EconBiz;CUSUM;;Variable;TBE;n;n;Exponential;Markov Chain Approach, Numerical Integration;ATS;n
quinino2015;jors;EconBiz;Shewhart;;Variable and Attribute;;n;n;Normal;(Monte Carlo) Simulation;ARL;n
safaei2015;ijpr;EconBiz;Shewhart;;Variable;;n;n;Normal;(Monte Carlo) Simulation;ATS;y
seif2015;ijpr;EconBiz;Shewhart;Adaptive;Variable;;n;n;Burr;(Monte Carlo) Simulation;ATS,  FAR;y
shen2013;ijpr;EconBiz;EWMA;;Variable;;y;n;Normal;(Monte Carlo) Simulation;ARL;n
tran2016;ijpr;EconBiz;Shewhart;;Variable;;y;n;Normal;Analytically;ARL, overall;n
wei2016;ijpr;EconBiz;Shewhart;;Variable;;y;n;Normal, t, Gamma;(Monte Carlo) Simulation, Analytically;ARL;n
wu2010-econbiz;ijpr;EconBiz;Shewhart;Synthetic;Variable and Attribute;;n;n;Normal;Numerical Integration, Analytically;ARL, overall, comparison;n
wu2014;ijpr;EconBiz;CCPR;;Variable;;n;y;-;(Monte Carlo) Simulation;classification;n
yang2012;ijpr;EconBiz;Shewhart, CUSUM;;Variable;;n;n;Normal;(Monte Carlo) Simulation, Analytically;ATS, overall, comparison;n
yang2015;ijpr;EconBiz;EWMA;;Variable;TBE;n;n;Exponential;Numerical Integration;ATS;n
yeh2012;ijpr;EconBiz;EWMA;;Variable;;y;n;Normal;(Monte Carlo) Simulation;ARL, comparison;n
zhang2012;ijpr;EconBiz;Shewhart;;Attribute;;n;n;Geometric;Analytically;ARL, FAR;n
zhong2016;ijpr;EconBiz;Shewhart;;Attribute;Profile / Surface;y;y;Regression;Markov Chain Approach;-;y
carlucci2018;md;Emerald;Shewhart;;Attribute;;n;n;Poisson;not mentioned;-;n
ercanteksen2018;jeim;Emerald;Shewhart;;Variable;;n;n;Normal;not mentioned;-;n
chen2011-jstor;jors;JSTOR;Shewhart;;Variable;;n;n;Burr, Normal;(Monte Carlo) Simulation;ATS;y
abbas2018;cie;ScienceDirect;CUSUM, EWMA;;Variable;;n;n;Normal, t, Gamma, Logistic;(Monte Carlo) Simulation;ARL;n
abbasi2012;cie;ScienceDirect;CUSUM;;Variable;;n;n;Normal;Markov Chain Approach;ARL;n
abdella2020;cie;ScienceDirect;Shewhart;;Variable;;y;n;Normal;(Monte Carlo) Simulation;FAR;n
adegoke2017;cie;ScienceDirect;EWMA;;Variable;Auxiliary;y;n;Normal;(Monte Carlo) Simulation, Numerical Integration;ARL, overall, comparison;n
adegoke2018;cie;ScienceDirect;CUSUM;;Variable;;y;n;Normal;(Monte Carlo) Simulation;ARL;n
ahmad2013;ijpe;ScienceDirect;Shewhart;;Variable;Auxiliary;y;n;Normal, Gamma;(Monte Carlo) Simulation, Numerical Integration;ATS, overall;n
ahmad2014;cie;ScienceDirect;Shewhart;;Variable;Auxiliary;y;n;Normal, t;(Monte Carlo) Simulation, Numerical Integration;ARL, overall, comparison;n
ali2016;cie;ScienceDirect;Shewhart;;Variable;TBE;n;n;Exponential, Rayleigh, Weibull, Burr type XII, Pareto, Gompertz;Numerical Integration, Analytically;ARL, overall, comparison;n
aliverdi2013;ijpm;ScienceDirect;Shewhart;;Variable;;n;n;Normal, Exponential, Weibull, Lognormal;Analytically;PM;n
anwar2021;cie;ScienceDirect;CUSUM, EWMA;;Variable;Auxiliary;y;n;Normal;(Monte Carlo) Simulation;ARL;n
ayyoub2020;cie;ScienceDirect;Shewhart;;Variable;;y;n;Normal;(Monte Carlo) Simulation, Analytically;ARL;n
bayer2018;cie;ScienceDirect;Shewhart;;Attribute;;n;n;Beta;(Monte Carlo) Simulation;ARL;n
bersimis2014;ejor;ScienceDirect;Shewhart;;Attribute;;n;n;Negative Binomial;Markov Chain Approach;ASS;n
bezerra2017;ijpe;ScienceDirect;Shewhart;;Variable and Attribute;;n;n;Normal, Multinomial;Analytically;ARL;y
canertestik2020;cie;ScienceDirect;Shewhart, EWMA;;Variable;;n;n;Normal;Numerical Integration;ARL;n
celano2013;cie;ScienceDirect;Shewhart, CUSUM, EWMA;;Variable;;n;n;Normal;Markov Chain Approach;ARL, overall;n
celano2016;cie;ScienceDirect;Shewhart;;Variable;;n;y;Normal, Uniform, Laplace, Logistic;Analytically;FAR;n
chen2015;trpb;ScienceDirect;Shewhart, EWMA;;Variable;Autocorrelated;y;n;Regression, Time Series Model, Normal;(Monte Carlo) Simulation;ARL;n
chen2020;cie;ScienceDirect;Shewhart, EWMA;;Variable;Profile / Surface, Autocorrelated;y;n;Regression, Normal;(Monte Carlo) Simulation;ARL;n
cheng2011;cie;ScienceDirect;Shewhart;;Variable;;y;n;Normal;(Monte Carlo) Simulation;ARL;n
chew2015;cie;ScienceDirect;Shewhart;Adaptive;Variable;;n;n;Normal;Markov Chain Approach;ATS;n
chiu2021;cie;ScienceDirect;CCPR;;Variable;Autocorrelated;n;n;Time Series Model, Normal;(Monte Carlo) Simulation, Analytically;ARL, classification;n
choi2020;cii;ScienceDirect;Shewhart;;Variable;;n;n;Normal;Analytically;PCA;n
chong2014;cie;ScienceDirect;Shewhart;Synthetic;Variable and Attribute;;n;n;Binomial;(Monte Carlo) Simulation;ARL;n
chong2016;cie;ScienceDirect;Shewhart;;Variable;;n;y;Normal, Laplace, Cauchy, Uniform, Exponential;(Monte Carlo) Simulation;ARL;n
chong2018;cie;ScienceDirect;Shewhart;;Variable;;n;y;Normal, Laplace, Cauchy, Exponential;(Monte Carlo) Simulation;ARL;n
colin2014;ome;ScienceDirect;Shewhart;;Variable;;n;n;Lognormal;(Monte Carlo) Simulation;PM;n
colin2015;dss;ScienceDirect;Shewhart;;Variable;;y;n;Beta;(Monte Carlo) Simulation;PM;n
colin2015-1;ijpm;ScienceDirect;Shewhart, CUSUM;;Variable;;n;n;Normal;(Monte Carlo) Simulation;PM;n
costa2011;ijpe;ScienceDirect;Shewhart;Adaptive;Variable;Autocorrelated;n;n;Time Series Model, Normal;Markov Chain Approach;ATS;n
costa2016;cie;ScienceDirect;Shewhart;Adaptive, Synthetic;Variable and Attribute;;n;n;Normal;Markov Chain Approach;ARL, overall;n
costa2017;cie;ScienceDirect;EWMA;Adaptive;Variable;Autocorrelated;n;n;Time Series Model, Normal;Markov Chain Approach;ARL;y
delatorregutierrez2016;cie;ScienceDirect;CCPR;;Variable;;n;n;Normal;(Monte Carlo) Simulation;classification;n
du2011;cie;ScienceDirect;Shewhart;;Variable;;y;n;Normal;Analytically;classification;n
du2013;cie;ScienceDirect;CCPR;;Variable;;n;n;Normal;(Monte Carlo) Simulation;classification;n
du2013-1;ijpe;ScienceDirect;Shewhart;;Variable;Autocorrelated;n;n;Time Series Model, Normal;(Monte Carlo) Simulation;ARL;n
faraz2013;ejor;ScienceDirect;Shewhart;;Variable;;y;n;Normal;Analytically;ARL;y
filho2020;ejor;ScienceDirect;Shewhart;;Variable;Autocorrelated;y;n;Time Series Model, Normal;(Monte Carlo) Simulation;ARL;n
franco2014;ijpe;ScienceDirect;Shewhart;;Variable;Autocorrelated;n;n;Time Series Model, Normal;Analytically;ARL;y
guardiola2014;trpb;ScienceDirect;Shewhart, EWMA;;Variable;Profile / Surface;y;n;Regression, Normal;not mentioned;-;n
guh2010;cie;ScienceDirect;CCPR;;Variable;;n;n;Normal;(Monte Carlo) Simulation;ARL, classification;n
guo2015;cie;ScienceDirect;Shewhart;Synthetic;Variable and Attribute;;n;n;Normal;Analytically;ARL;n
hadian2019;cie;ScienceDirect;Shewhart;;Variable;;y;n;Normal;Analytically;PCA, PM;n
hadian2021;cie;ScienceDirect;Shewhart;;Variable;;n;n;Normal, Weibull;(Monte Carlo) Simulation;ARL;y
haq2018;cie;ScienceDirect;EWMA;Adaptive;Variable;;y;n;Normal;(Monte Carlo) Simulation;ARL;n
haq2019;cie;ScienceDirect;EWMA;Adaptive;Variable;;y;n;Normal;(Monte Carlo) Simulation;ARL;n
haq2019-1;cie;ScienceDirect;CUSUM;;Variable;;y;n;Normal;(Monte Carlo) Simulation;ARL, overall, comparison;n
haridy2012;cie;ScienceDirect;Shewhart;Synthetic;Variable and Attribute;;n;n;Binomial;Analytically;overall;n
haridy2021;cie;ScienceDirect;Shewhart;;Attribute;;n;n;Binomial, Beta;Analytically;ATS,  comparison;n
harrou2015;cie;ScienceDirect;CUSUM;;Variable;;y;n;Normal;(Monte Carlo) Simulation;ARL;n
he2016;cie;ScienceDirect;EWMA;;Attribute;Autocorrelated;y;n;Time Series Model, Normal, Binomial;(Monte Carlo) Simulation;ASS;n
he2019;cie;ScienceDirect;Shewhart;;Variable;TBE;n;n;Normal, Exponential, Poisson;Markov Chain Approach;-;y
